paper_result_id,family,method_name,variant_or_protocol,sequence_count,gt_valid,est_valid,failure,mae_s,e_ttc_pct,status,code_entry,config,raw_run_directory,requires_full_dataset,requires_external_code,reproduction_command
R018,traditional,SparsityAwareLTS,BBoxLoomingV7_20260427_170415 / V6 + short-candidate spike guard / no LTS fallback,32,3738,3688,304,0.72,18.712,已被 V8/V10 超过,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV7_20260427_170415,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV7 --disable-lts-fallback
R019,traditional,SparsityAwareLTS,BBoxLoomingV7_20260427_170433 / V6 + short-candidate spike guard / LTS fallback,32,3738,3737,255,0.767,19.768,已被 V8 fallback 结果超过,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV7_20260427_170433,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV7
R020,traditional,SparsityAwareLTS,BBoxLoomingV6_20260427_165401 / quality-aware adaptive quantile / no LTS fallback,32,3738,3688,304,0.727,18.957,已被 V7/V8/V10 超过,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV6_20260427_165401,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV6 --disable-lts-fallback
R021,traditional,SparsityAwareLTS,BBoxLoomingV6_20260427_165438 / quality-aware adaptive quantile / LTS fallback,32,3738,3737,255,0.774,20.01,已被 V7/V8 fallback 结果超过,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV6_20260427_165438,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV6
R022,traditional,SparsityAwareLTS,BBoxLoomingV5_20260427_160313 / V4 + quality gate / LTS fallback,32,3738,3721,271,1.02,26.02,rejected；旧 LTS fallback 明显伤害精度,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV5_20260427_160313,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV5
R023,traditional,SparsityAwareLTS,BBoxLoomingV4_20260427_150649 / Q25+cy-bottom+16s / no LTS fallback,32,3738,3688,304,0.759,19.319,已被 V6/V7/V8 超过,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV4_20260427_150649,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV4 --disable-lts-fallback
R024,traditional,SparsityAwareLTS,BBoxLoomingV4_20260427_150716 / Q25+cy-bottom+16s / LTS fallback,32,3738,3737,255,0.806,20.367,已被 V8 fallback 结果超过,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV4_20260427_150716,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV4
R025,traditional,SparsityAwareLTS,BBoxLoomingV3_20260427_144931 / Q25+15s / no LTS fallback,32,3738,3685,307,0.784,19.791,已被 V4 超过,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV3_20260427_144931,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV3 --disable-lts-fallback
R026,traditional,SparsityAwareLTS,BBoxLoomingV3_20260427_145008 / Q25+15s / LTS fallback,32,3738,3736,256,0.838,20.87,已被 V4 超过,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV3_20260427_145008,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV3
R027,traditional,SparsityAwareLTS,BBoxLoomingV2_20260427_111706 / no LTS fallback,32,3738,3635,357,0.822,21.806,已被 V3 超过,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV2_20260427_111706,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV2 --disable-lts-fallback
R028,traditional,SparsityAwareLTS,BBoxLoomingV2_20260427_111931 / LTS fallback,32,3738,3732,260,0.933,24.187,已被 V3 超过,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV2_20260427_111931,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV2
R029,traditional,SparsityAwareLTS,BBoxLoomingV1_20260427_111136 / no LTS fallback,32,3738,3457,535,0.884,26.142,BBoxLooming 初始版本；已被 V2 超过,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV1_20260427_111136,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV1 --disable-lts-fallback
R030,traditional,SparsityAwareLTS,BBoxLoomingV1_20260427_110846 / LTS fallback,32,3738,3721,271,1.103,31.335,覆盖更高，但 fallback 拖高误差,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/BBoxLoomingV1_20260427_110846,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant BBoxLoomingV1
R031,traditional,SparsityAwareLTS,HeuristicCueV1_20260427_103126,32,3738,3688,304,2.964,126.894,旧 heuristic / LTS baseline；用于解释主线转向,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTS/HeuristicCueV1_20260427_103126,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant HeuristicCueV1
R032,traditional,SparsityAwareLTS,CompareV1V2_20260427_104536 / LocalCueV2+AggregationV2,32,3738,3688,304,6.15,327.078,rejected；全量上退化成 fallback-dominant baseline,Code/scripts/data/run_sparsity_aware_lts_eval.py,configs/traditional/bbox_looming_main.json,Code/Experiments/SparsityAwareLTSCompare/CompareV1V2_20260427_104536,True,False,python Code/scripts/data/run_sparsity_aware_lts_eval.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/SparsityAwareLTS --variant CompareV1V2 --disable-lts-fallback
R033,ml,MlBaselineTorch,TorchTinyCnnBBoxAuxV1_AllData_MultiTauPolSplitV1_Mps,32,3688,3688,0,0.747,18.117,hybrid ML；显式接入 V7 bbox 几何 cue 后具备竞争力,Code/scripts/data/run_ml_baseline_train_torch.py,configs/ml/ml_baselines.json,Code/Experiments/MlBaselineTorch/TorchTinyCnnBBoxAuxV1_AllData_MultiTauPolSplitV1_Mps,True,False,python Code/scripts/data/run_ml_baseline_train_torch.py --dataset-root ${EVTTC_ML_DATASET_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/MlBaselineTorch --device auto --aux-metrics-csv ${EVTTC_BBOX_AUX_METRICS_CSV} --run-name <run-name-from-manifest>
R034,ml,MlBaselineTorch,TorchTinyCnnBBoxResidualV1_AllData_MultiTauPolSplitV1_Mps,32,3688,3688,0,0.753,18.18,residual-to-aux 没有超过 direct bbox aux,Code/scripts/data/run_ml_baseline_train_torch.py,configs/ml/ml_baselines.json,Code/Experiments/MlBaselineTorch/TorchTinyCnnBBoxResidualV1_AllData_MultiTauPolSplitV1_Mps,True,False,python Code/scripts/data/run_ml_baseline_train_torch.py --dataset-root ${EVTTC_ML_DATASET_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/MlBaselineTorch --device auto --aux-metrics-csv ${EVTTC_BBOX_AUX_METRICS_CSV} --run-name <run-name-from-manifest>
R035,ml,MlBaselineTorch,TorchTinyCnnStatsMetaBBoxAuxV1_AllData_MultiTauPolSplitV1_Mps,32,3688,3688,0,0.796,19.127,stats/meta+bbox 伤害 full-set 泛化,Code/scripts/data/run_ml_baseline_train_torch.py,configs/ml/ml_baselines.json,Code/Experiments/MlBaselineTorch/TorchTinyCnnStatsMetaBBoxAuxV1_AllData_MultiTauPolSplitV1_Mps,True,False,python Code/scripts/data/run_ml_baseline_train_torch.py --dataset-root ${EVTTC_ML_DATASET_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/MlBaselineTorch --device auto --aux-metrics-csv ${EVTTC_BBOX_AUX_METRICS_CSV} --run-name <run-name-from-manifest>
R036,ml,MlBaselineTorch,TorchTinyCnnImageOnlyV1_AllData_MultiTauPolSplitV1_Mps,32,3688,3688,0,1.356,36.059,纯 image-only 对照；不是论文主方法,Code/scripts/data/run_ml_baseline_train_torch.py,configs/ml/ml_baselines.json,Code/Experiments/MlBaselineTorch/TorchTinyCnnImageOnlyV1_AllData_MultiTauPolSplitV1_Mps,True,False,python Code/scripts/data/run_ml_baseline_train_torch.py --dataset-root ${EVTTC_ML_DATASET_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/MlBaselineTorch --device auto --run-name <run-name-from-manifest>
R037,ml,MlBaseline,TinyCnnImageOnlyV1_AllData_MultiTauPolSplitV1,32,3688,3688,0,1.347,35.567,NumPy parity check；确认 image-only full-set 弱点,Code/scripts/data/run_ml_baseline_train.py,configs/ml/ml_baselines.json,Code/Experiments/MlBaseline/TinyCnnImageOnlyV1_AllData_MultiTauPolSplitV1,True,False,python Code/scripts/data/run_ml_baseline_train.py --dataset-root ${EVTTC_ML_DATASET_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/MlBaseline --run-name <run-name-from-manifest>
R038,legacy,CMax,LegacyCleanFull_20260504_012405 / formal-left per-interval affine CMax / max_ttc=25 / coarse_grid=11 / no refine,32,3738,3592,400,3.028,103.439,direct formal clean rerun；不是 official-style epoch/window 复现,Code/scripts/analysis/run_legacy_clean_rerun.py,configs/legacy/clean_reruns.json,Code/Experiments/LegacyCleanReruns/LegacyCleanFull_20260504_012405/cmax,True,True,EVTTC_CMAX_CORE_PATH=${EVTTC_CMAX_CORE_PATH} EVTTC_STRTTC_BASELINES_DIR=${EVTTC_STRTTC_BASELINES_DIR} python Code/scripts/analysis/run_legacy_clean_rerun.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/LegacyCleanReruns --max-intervals 0 --methods cmax strttc-baseline strttc-quality-aware --max-ttc 25 --cmax-coarse-grid 11 --strttc-max-points 600 --strttc-negative-ttc-policy abs
R039,legacy,STRTTC Python,LegacyCleanFull_20260504_012405 / quality off / timestamp_grad / sign-normalized abs TTC / max_ttc=25,32,3738,2407,1585,3.052,88.054,direct formal clean rerun；使用 sign-normalized TTC,Code/scripts/analysis/run_legacy_clean_rerun.py,configs/legacy/clean_reruns.json,Code/Experiments/LegacyCleanReruns/LegacyCleanFull_20260504_012405/strttc-baseline,True,True,EVTTC_CMAX_CORE_PATH=${EVTTC_CMAX_CORE_PATH} EVTTC_STRTTC_BASELINES_DIR=${EVTTC_STRTTC_BASELINES_DIR} python Code/scripts/analysis/run_legacy_clean_rerun.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/LegacyCleanReruns --max-intervals 0 --methods cmax strttc-baseline strttc-quality-aware --max-ttc 25 --cmax-coarse-grid 11 --strttc-max-points 600 --strttc-negative-ttc-policy abs
R040,legacy,STRTTC quality-aware,LegacyCleanFull_20260504_012405 / linear quality topk=96 / sign-normalized abs TTC / max_ttc=25,32,3738,2347,1645,3.139,92.106,direct formal clean rerun；全量上没有超过 STRTTC baseline,Code/scripts/analysis/run_legacy_clean_rerun.py,configs/legacy/clean_reruns.json,Code/Experiments/LegacyCleanReruns/LegacyCleanFull_20260504_012405/strttc-quality-aware,True,True,EVTTC_CMAX_CORE_PATH=${EVTTC_CMAX_CORE_PATH} EVTTC_STRTTC_BASELINES_DIR=${EVTTC_STRTTC_BASELINES_DIR} python Code/scripts/analysis/run_legacy_clean_rerun.py --formal-root ${EVTTC_FORMAL_ROOT} --output-root ${EVTTC_OUTPUT_ROOT}/LegacyCleanReruns --max-intervals 0 --methods cmax strttc-baseline strttc-quality-aware --max-ttc 25 --cmax-coarse-grid 11 --strttc-max-points 600 --strttc-negative-ttc-policy abs
